100000 50
360591 361089 24
75646 75734 21
471925 472912 69
511509 512351 61
1251 1534 44
491046 491422 60
378833 379075 31
355330 355924 97
191431 191514 55
430737 431708 70
155248 155748 89
171446 172013 43
177344 177947 41
52794 52953 63
171148 171717 60
348853 348976 44
129804 130674 4
185088 185525 38
71213 72047 92
321872 322492 12
141898 142796 80
170789 170978 18
73592 73934 100
330848 331307 7
387315 387713 89
316910 317597 40
371921 372404 66
224013 224036 34
500948 500986 12
278114 278419 58
139611 140273 75
421863 422721 53
498226 499144 35
432046 432342 39
422189 422914 16
439413 439883 81
52058 52378 27
194916 195262 51
290546 291529 12
241029 241917 20
450315 450974 31
206646 206673 33
461806 462707 76
455905 456295 36
63689 64612 93
192149 192931 11
128514 128546 70
5986 6902 62
466840 467701 29
501292 502120 96
142631 142985 86
27842 28669 86
204723 205052 76
350210 350770 29
218508 218858 91
85839 85864 32
192051 192129 26
367825 368740 44
359661 360463 9
365740 366111 85
196364 196970 10
334371 334513 34
235736 236666 44
302601 303501 96
38519 38597 17
65417 66209 10
389138 389481 27
294892 295542 25
88628 88707 28
498423 498655 57
312750 313398 34
478028 478171 66
425941 426017 75
392873 392916 26
55017 55101 75
432919 433277 79
43288 44109 98
7026 7882 66
265961 266334 17
167651 168111 82
182339 183033 52
115627 116245 88
151713 152535 51
12935 13350 11
438623 438665 94
91474 92296 92
64116 64511 46
494131 494400 59
284246 284855 70
58708 58864 33
222609 222712 45
346859 347550 70
8097 8176 93
201728 202405 100
175881 176119 87
420935 421570 87
20343 21097 6
269489 270367 24
249151 249699 45
147709 148563 56
315703 315762 34
347599 348036 53
119887 120492 14
117668 118647 77
116145 116269 79
385357 385657 57
463148 463390 12
153311 153723 6
454889 455270 2
40814 41105 46
335577 336428 49
34436 34750 97
243656 244420 98
343277 343964 23
343548 343623 3
440241 441187 38
189667 189885 30
220039 220708 2
406670 407476 39
129507 129756 20
212316 212617 13
342241 342445 49
132700 133355 48
43837 44521 55
54470 54688 50
341343 342228 54
25399 25470 16
169042 169510 87
252059 252691 57
456225 457126 67
157756 158578 77
293587 293885 19
99970 100072 47
376403 377305 21
42631 42825 18
291948 292050 33
228813 229136 21
482145 482371 72
361352 362188 5
187600 187607 38
61302 61953 30
311531 312393 32
52652 52747 52
394560 394753 89
323737 324275 33
49517 50177 92
267367 268182 60
8412 9011 2
154785 155427 94
35046 35966 61
168600 169224 59
117820 118137 77
319654 320350 30
326488 326599 48
465801 466674 96
128079 128911 39
11218 12128 84
355371 355989 75
492668 493370 38
327502 328342 79
222646 222718 48
463200 463701 97
368657 368791 73
169349 169723 25
30259 30437 50
232420 233297 16
288627 288654 24
283900 284623 8
53675 54301 40
65185 65321 28
395067 396006 31
475794 476341 18
172782 173645 13
43845 43935 18
328894 329426 84
264190 264474 100
241001 241499 61
415240 416238 89
139435 140229 3
499890 500700 72
365749 366708 11
387073 387434 86
220289 220529 33
197599 198523 4
141698 142184 60
280842 281809 15
146591 146971 54
137517 137970 38
313453 313838 34
307938 307971 49
199609 200360 40
270235 270344 61
125735 126345 97
279582 280034 25
82369 82384 19
477542 477784 65
312693 312967 52
204201 204342 95
31043 31100 81
44646 44917 81
422210 422470 67
73311 73778 100
45984 46877 44
168230 168316 67
449474 450130 89
460748 460976 99
108425 109097 96
276731 276984 41
268008 268563 90
348868 349830 79
46553 47336 31
97399 98008 76
298174 298491 34
180223 180531 74
51649 51668 4
107800 107905 91
149433 150165 46
407125 407873 16
457056 457906 25
356295 356428 15
124605 124739 51
98628 99373 17
469453 469502 78
222199 223045 87
327415 327420 93
386118 386280 81
96688 97322 31
177090 178055 17
285942 286672 62
445280 445567 9
8553 9312 67
62869 62936 38
303473 304041 43
371288 371418 67
392814 393494 67
417471 417946 10
199335 199836 92
84487 85317 76
228895 229687 83
452393 452724 79
59013 59025 34
147174 147857 45
397099 397939 34
250474 250826 94
348727 348921 61
398438 399323 58
250409 250519 32
62614 63131 95
410288 410462 69
262128 262200 94
14069 14890 84
328114 329000 62
347283 347707 99
70853 71777 36
266031 266103 53
118343 119189 56
377693 377714 65
315795 316012 48
341521 341717 36
484661 484702 15
204726 205313 86
243190 244150 26
110289 110403 48
410887 411160 92
406426 406785 90
387773 388393 4
174496 174749 86
344130 345073 99
215580 215601 26
345400 346003 85
208496 208779 53
151983 152502 6
214126 214151 69
196057 196706 59
174429 174451 77
309226 309654 87
369405 369618 64
491384 491463 89
151604 151674 11
124214 124555 66
202579 202675 83
327548 327913 24
127573 128055 28
266582 267576 49
132265 133015 53
48983 49221 4
94946 95735 20
418361 418629 13
274795 275272 34
471845 472656 1
111294 111488 68
275170 275929 67
250795 251786 18
429602 430053 72
258700 258788 32
86262 86710 54
454642 455131 2
168762 169025 59
383721 383852 79
9764 9979 51
89213 89317 47
10662 11418 31
426208 427171 10
67432 67727 61
302928 303784 30
321585 321859 44
39394 39634 59
194089 194170 76
442314 442878 23
7284 7839 68
11163 11894 66
230264 231260 33
200241 200534 41
328826 329668 50
147552 148067 82
174241 174605 32
226559 227425 15
493194 493928 83
196612 197542 37
493939 494088 54
420983 421429 60
348328 348888 50
115184 115900 20
459132 459593 27
459484 459511 33
89921 90869 78
41107 41904 24
30538 30985 47
278272 279235 16
251156 252031 2
470212 470952 89
75206 76205 82
282724 283293 9
198042 198917 27
392629 393486 32
83228 83610 61
481162 481925 25
140421 140869 73
395692 396566 76
431126 431454 47
121283 121773 65
367790 368291 29
260345 261060 66
91970 92140 73
247379 247658 86
361324 361616 62
338260 338883 2
322186 322479 100
449987 450365 33
84295 84563 68
367163 368024 57
283972 284094 70
238179 238232 41
68932 69654 31
340699 340866 76
282321 283260 15
59072 59533 43
158144 158855 91
263938 264582 2
60469 61214 66
304388 305294 53
403785 404387 4
40308 40930 45
432024 432666 45
168403 168835 86
321761 322688 31
382313 382617 4
30027 30117 77
138190 138523 65
312370 312500 56
113418 114305 98
254951 255119 92
22667 23290 61
375157 375960 74
138623 138932 49
403268 403844 3
374506 374929 40
184583 184744 23
275272 275450 19
166898 167744 79
22903 23127 42
350772 351207 39
20828 20893 91
371433 372364 39
312864 313671 34
219416 219598 24
407982 408197 81
45416 45966 41
428696 428878 71
440557 440877 24
54672 55647 68
45069 45732 91
282763 283527 79
70946 71773 74
296863 297795 73
221321 221456 75
25942 26283 83
384169 384665 2
195796 195952 78
45892 46240 79
252212 252372 86
418111 418834 37
241773 242082 98
154215 154779 95
77006 77748 24
196148 196622 93
77914 77995 53
47314 48171 75
215087 215966 63
298614 298846 94
179526 180105 33
205239 205378 2
186299 187147 53
187895 188501 52
233872 234818 27
166421 166741 12
124246 125035 33
408501 409104 27
368167 368398 80
25821 26500 6
57199 58121 73
217837 218286 15
384201 385052 40
68266 68862 4
16651 16918 20
467275 468175 51
300594 301069 36
375780 376093 81
328943 329623 35
118024 118802 40
336177 336865 96
436714 437114 85
80198 80970 60
438808 439435 34
3241 3508 1
144694 145028 36
270200 271077 80
194983 195154 54
334585 335024 75
41989 42360 31
271501 271953 47
338402 339006 28
148433 148604 4
132905 133519 2
64481 64709 64
424858 425123 68
446102 446781 3
428341 428425 27
368878 369820 95
42062 43043 61
454390 455334 85
97937 98706 12
176469 176992 1
406234 407002 11
319994 320990 65
343124 343855 26
256241 256514 53
423011 423733 88
169816 169999 9
114360 115286 65
201555 201905 55
456010 456763 81
102117 102370 46
132456 133301 79
498297 498871 26
330144 331089 19
99412 99428 36
7044 7825 10
189609 189951 53
62643 63228 47
275622 275825 99
404360 405182 45
161617 162375 46
241326 241625 21
287966 288195 44
402627 402742 75
144268 144737 49
120198 121076 79
277800 277905 22
444693 444916 50
358092 358664 45
230584 230667 98
33485 34288 22
111364 111437 24
326598 327396 15
10924 11687 55
288710 289450 95
27325 28152 91
259098 259724 100
78902 78916 76
501909 502884 72
328733 329402 46
471928 472392 42
436195 436863 80
270945 271298 100
79543 80474 90
239415 239429 49
147347 147911 50
370728 370946 45
336561 336877 53
186123 186189 84
513948 514448 27
169546 169648 89
459593 459695 61
357661 358241 34
355213 355398 30
448097 448448 87
33081 33700 89
132880 133496 57
23317 23761 14
30018 30580 71
273519 273865 1
59820 60078 73
440504 440549 12
356951 357484 14
493420 493558 77
219267 220260 6
407089 407982 2
472654 472988 68
63294 63424 45
467993 468859 71
270768 271570 68
224016 224203 12
145680 146184 32
47032 47829 94
187018 187528 65
174326 174522 69
174121 174956 38
246669 246717 80
362872 363801 40
184650 185414 56
5626 6110 69
171492 171617 11
480674 481589 60
84686 85357 90
248666 248785 96
464128 464372 34
41487 42384 55
57036 57261 18
333311 333613 67
449442 449859 93
155107 155186 45
296153 296774 89
145268 146107 99
489559 490546 85
170517 170899 76
305246 305517 15
304021 304108 68
302638 303033 37
444081 444674 21
324302 324843 6
109137 109579 91
400646 400757 39
343828 344581 66
306135 306662 96
249485 250434 29
83631 84076 25
202585 203206 76
170751 171254 66
154408 154592 52
40986 41860 33
431364 431705 91
424947 425945 57
74637 74893 30
134785 134986 83
138999 139279 40
230605 231201 69
19368 20042 49
382676 383291 59
399947 400653 49
285745 286286 92
398056 398637 65
126343 126876 86
226617 227089 20
43418 44367 13
461184 461858 46
212389 212451 6
189891 190276 73
458545 459285 59
370784 371749 46
490228 490313 7
128853 129497 81
285073 285315 1
467983 468462 11
240265 240651 36
240985 241505 71
335953 336377 88
494543 494890 86
232688 232765 33
18319 19042 6
78991 79274 14
111812 112338 4
315904 316394 32
289737 290038 4
272336 272871 82
228427 228640 6
77873 78542 8
287512 287676 4
143520 143707 44
419180 419901 2
438065 438755 25
19514 20008 72
448419 449333 79
130238 130518 21
140293 140322 79
367734 368552 67
307449 307520 16
433805 434662 86
203504 204352 27
188566 189018 73
103852 104699 52
351679 352220 51
421388 421886 87
430156 430159 79
300475 301108 82
466940 467739 2
481117 481748 92
30153 30289 55
56305 57028 26
149414 149612 79
390460 391267 63
447899 448319 28
82531 83336 8
28699 29036 1
396914 397335 57
467207 468121 89
439061 439780 48
361859 362655 48
312315 312653 61
293975 294048 90
60555 61079 29
77499 77764 75
386709 386826 40
396398 396811 44
444078 444985 14
309612 310015 4
245827 246647 29
462611 462616 35
83278 84119 46
35691 36018 99
491003 491115 34
123542 124295 10
160870 161373 8
192315 192538 100
438535 438816 21
341198 341937 30
336450 336833 11
191611 191783 93
14377 15238 47
493856 494588 5
118410 119088 50
241306 241527 77
226968 227354 84
283496 283652 50
454765 454859 84
8978 9531 57
260350 261214 87
143232 143762 2
477298 477716 79
131718 132481 88
222364 222827 25
468386 469021 53
440339 441018 91
94869 94969 71
215599 216433 15
185940 186752 35
300599 301487 14
269405 269549 68
169453 170226 65
419778 419950 24
167604 167935 23
116555 117168 88
194761 194942 49
269085 269957 82
494311 494440 37
51992 52255 97
253688 253855 57
46663 47013 4
446355 446384 45
259715 259803 50
221119 221474 41
2665 3594 19
19909 20641 97
209503 210104 66
410972 411190 15
470822 470981 63
501908 502093 16
385299 385512 28
245677 246374 58
44769 45543 90
468710 469643 61
285082 285764 52
368760 369690 55
473964 474177 49
406682 407264 88
35697 36364 74
295946 296851 56
78031 78302 81
290047 291027 83
160671 160820 87
240953 241163 96
27905 28728 98
399837 400052 77
47835 48507 41
73701 74401 34
286081 286260 1
140638 141355 21
197910 198317 75
257130 257461 8
148182 148601 3
311623 312406 99
110996 111856 1
43288 43817 78
69675 70044 51
29818 30549 78
306423 306725 98
196661 197044 89
404677 404689 74
327536 327898 37
29712 30543 35
103035 103744 68
489047 489204 20
369852 370171 43
342430 343277 64
82320 82863 79
70468 70818 50
487818 488000 85
327667 327756 83
130431 131218 39
231404 231894 8
344265 345084 76
366640 366679 4
337050 337306 99
181651 182084 75
421580 422395 31
34269 34834 61
163441 163452 27
10895 11535 86
219631 220392 98
460283 461224 58
369134 369941 68
122418 122487 30
93271 93987 23
200639 200781 77
